id,family_id,parent_id,name,bookkeeping,level,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
bomb1263,aust1307,tani1260,Nuta,FALSE,family,,,,,,0,3,2,
bomb1265,atla1278,ngir1250,Bombomic,FALSE,family,,,,,,0,2,6,
bomi1238,atla1278,impf1234,Bomitaba,FALSE,language,170.044,173.733,zmx,,,0,0,2,CF CG
bomk1234,atla1278,nort3167,Bom-Kim,FALSE,language,927.518,-1.159.696,bmf,,,0,0,2,SL
bomu1247,atla1278,bwam1247,Bomu,FALSE,language,12.3816,-4.538,bmq,,,0,0,9,BF ML
bomw1238,atla1278,maka1323,Bomwali,FALSE,language,171.005,159.546,bmw,,,0,0,0,CG CM
bona1250,mong1349,baoa1237,Bonan,FALSE,language,35.515,10.201.778,peh,,,0,0,2,CN
bond1245,aust1305,guto1244,Bondo,FALSE,language,191.512,838.141,bfw,,,0,0,2,IN
bond1246,atla1278,kula1277,Bondoukou Kulango,FALSE,language,785.945,-287.379,kzc,,,0,0,2,CI GH
bond1247,atla1278,bond1249,Bondei,FALSE,language,-510.749,385.079,bou,,,0,0,0,TZ
bond1248,dogo1299,yand1255,Najamba-Kindige,FALSE,language,149.066,-332.636,dbu,,,0,0,3,ML
bond1249,atla1278,seut1234,Bondei-Shambala,FALSE,family,,,,,,0,2,3,
bone1254,aust1307,tuka1246,Bonerate,FALSE,language,-737.657,121.792,bna,,,0,0,2,ID
bone1255,toro1256,coas1312,Bonerif,FALSE,language,-209.529,139.208,bnv,,,0,0,0,ID
bong1282,atla1278,goul1244,Bon Gula,FALSE,language,10.6577,195.774,glc,,,0,0,0,TD
bong1284,atla1278,moki1244,Bongili,FALSE,language,37.063,166.079,bui,,,0,0,0,CG
bong1285,cent2225,sara1341,Bongo,FALSE,language,7.4145,279.918,bot,,,0,0,3,SD SS
bong1287,aust1307,sarm1242,Bonggo,FALSE,language,-228.044,139.576,bpg,,,0,0,0,ID
bong1289,aust1307,nort3172,Bonggi,FALSE,language,729.249,117.174,bdg,,,0,0,0,MY
bong1291,nucl1709,coas1332,Bongu,FALSE,language,-550.519,145.806,bpu,,,0,0,0,PG
bonj1234,atla1278,impf1234,Impfondo,FALSE,language,239.823,176.298,bok,,,0,0,0,CG
bonk1243,atla1278,lund1274,Bonkeng,FALSE,language,466.054,976.306,bvg,,,0,0,0,CM
bonk1244,nucl1709,kewi1241,Bonkiman,FALSE,language,-584.007,146.738,bop,,,0,0,0,PG
bont1246,aust1307,nucl1754,Bontok-Kankanay,FALSE,family,,,,,,3,5,12,
