id,family_id,parent_id,name,bookkeeping,level,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
abru1239,indo1319,balk1252,Abruzzese-Calabrian-Molisean Romani,FALSE,dialect,,,,,,0,0,0,
absh1238,indo1319,musl1236,Absheron,FALSE,dialect,,,,,,0,0,2,
abua1243,atla1278,cent2028,Abua-Odual,FALSE,family,,,,,,0,3,8,
abua1244,atla1278,abua1243,Abua,FALSE,language,483.057,661.492,abn,,,0,0,4,NG
abua1245,nucl1708,buki1250,Abu' Arapesh,FALSE,language,-3.461.612,142.917.031,aah,,,0,0,0,PG
abui1241,timo1261,abui1242,Abui,FALSE,language,-831.058,124.588,abz,,,0,0,4,ID
abui1242,timo1261,alor1250,Abuic,FALSE,family,,,,,,0,2,10,
abuj1237,drav1251,mari1414,Abujmaria,FALSE,dialect,,,,,,0,0,0,
abul1238,nilo1247,buru1301,Abuldugu,FALSE,dialect,,,,,,0,0,0,
abun1252,,,Abun,FALSE,language,-57.073,132.416,kgr,,,0,0,3,ID
abun1253,abun1252,abun1252,Abun Je,FALSE,dialect,,,,,,0,0,0,
abun1254,abun1252,abun1252,Abun Tat,FALSE,dialect,,,,,,0,0,0,
abun1255,abun1252,abun1252,Abun Ji,FALSE,dialect,,,,,,0,0,0,
abur1243,atla1278,west2816,Abure,FALSE,language,521.534,-364.123,abu,,,0,0,0,CI
abur1244,atla1278,uncl1542,Abureni,FALSE,language,462.301,650.634,mgj,,,0,0,0,NG
abus1238,kadu1256,kang1288,Abu Sinun,FALSE,dialect,,,,,,0,0,0,
abuu1241,ramu1234,agoa1234,Abu,FALSE,language,-424.027,144.474,ado,,,0,0,3,PG
abuz1234,indo1319,soii1239,Abuzaydabadi,FALSE,dialect,,,,,,0,0,0,
abya1234,indo1319,nata1252,Abyane'i,FALSE,dialect,,,,,,0,0,0,
abzh1238,abkh1242,abkh1244,Abzhui,FALSE,dialect,,,,,,0,0,0,
acad1238,indo1319,stan1290,Acadian,FALSE,dialect,,,,,,0,0,0,
acat1239,otom1299,west2948,Acatepec Me'phaa,FALSE,language,171.034,-990.602,tpx,,,0,0,3,MX
acat1240,otom1299,acat1239,Acatepec,FALSE,dialect,,,,,,0,0,0,
acch1238,indo1319,nepa1254,Acchami,FALSE,dialect,,,,,,0,0,0,
acha1249,sino1245,acha1252,Longchuan Achang,FALSE,language,243.479,977.438,acn,,,0,0,3,CN MM
acha1250,araw1281,piap1247,Achagua,FALSE,language,438.649,-722.005,aca,,,0,0,0,CO
acha1252,sino1245,sout3159,Achangic,FALSE,family,,,,,,0,4,3,
ache1244,sino1245,uncl1517,Ache,FALSE,language,24.152,102.446,yif,,,0,0,0,CN
ache1245,narr1279,ache1247,Acheron,FALSE,language,10.8827,303.187,acz,,,0,0,2,SD
ache1246,tupi1275,tupi1277,Aché,FALSE,language,-255.865,-564.697,guq,,,0,0,0,PY
ache1247,narr1279,bura1298,Acheron-Tocho,FALSE,family,,,,,,0,2,2,
achi1247,sino1245,garo1247,Achik,FALSE,dialect,,,,,,0,0,0,
achi1255,sino1245,garo1247,A'chick,FALSE,dialect,,,,,,0,0,0,
achi1256,maya1287,quic1275,Achi,FALSE,language,15.073,-903.513,acr,,,0,0,0,GT
achi1257,aust1307,cham1327,Acehnese,FALSE,language,390.757,966.032,ace,,,0,0,7,ID
achi1258,book1242,book1242,"Achi', Cubulco",TRUE,language,,,acc,,,0,0,0,GT
acht1238,indo1319,west2356,Achterhoeks,FALSE,dialect,52.021,647.521,act,,,0,0,0,DE NL
acht1239,tuuu1241,xamm1241,Achterveld,FALSE,dialect,,,,,,0,0,0,
achu1247,pala1350,pala1350,Achumawi,FALSE,language,410.979,-121.191,acv,,,0,0,0,US
achu1248,jiva1245,shua1256,Achuar-Shiwiar,FALSE,language,-282.646,-772.641,acu,,,0,0,2,EC PE
